,Name,Summary
10,Graduate Berkeley,"The Graduate Berkeley (Originally called the Hotel Durant or the Durant Hotel) is a historic boutique hotel located in Berkeley, California in the United States. It is located in downtown Berkeley, just off campus of the University of California, Berkeley. The hotel is listed on the Berkeley register of historic places."
11,"Rochdale Village (Berkeley, California)","Rochdale Village is student housing cooperative apartment complex in Berkeley, California. The property is owned by UC Berkeley and leased by the  Berkeley Student Cooperative (BSC).  It was built during the late 1960s and early 1970s, with money loaned by the Department of Housing and Urban Development.  With approximately 260 residents, it is the largest housing co-op in Berkeley and one of the largest student housing cooperatives in the world.  It lies at an elevation of 236 feet (72 m).

"
12,Miller Institute,"The Miller Institute for Basic Research in Science was established on the University of California, Berkeley campus in 1955 after Adolph C. Miller and his wife, Mary Sprague Miller, made a donation to the University. It was their wish that the donation be used to establish an institute “dedicated to the encouragement of creative thought and conduct of pure science.” 
The Miller Institute sponsors Miller Research Professors, Visiting Miller Professors and Miller Research Fellows. The first appointments of Miller Professors were made in January 1957. In 2008 the Institute created the Miller Senior Fellow program. This program is aimed differently, but is still within the Institute's general purpose of supporting excellence in science at UC Berkeley. The Senior Fellow advances that goal by providing selected faculty with significant discretionary research funds as recognition of distinction in scientific research. The first 5-year award went to Professor Randy Schekman, illustrating the high standard of the Senior Fellows. The 2010 Miller Senior Fellow, Saul Perlmutter, was awarded the Nobel Prize in Physics in 2011. He shares the prize with former Miller Fellow Adam Riess (MF 1996-98) and Brian Schmidt. Randy Schekman was awarded the Nobel Prize in Physiology or Medicine in 2013."
13,California School for the Blind,"The California School for the Blind is a public educational institution for blind children, K-12, located in Fremont, California. Its campus is located next to the California School for the Deaf."
14,Thorsen House,"The William R. Thorsen House, often referred to as the Thorsen House, is a historic residence in Berkeley, California. Built in 1909 for William and Caroline Thorsen, it is one of the last of four standing ultimate bungalows designed by Henry and Charles Greene of the renowned architectural firm Greene & Greene and the only one located in Northern California.Since 1942, it has been home to the Sigma Phi Society of the Thorsen House (alternatively Thorsen or the Sigma Phi Society of California), which hosts communal dinners, organizes small concerts, and offers tours for other students and members of the public, welcoming thousands of visitors a year.Thorsen can be toured throughout the week on an informal basis; one can simply knock on the door to visit."
15,Magnes Collection of Jewish Art and Life,"The Magnes Collection of Jewish Art and Life, formerly known as the Judah L. Magnes Museum from 1961 until its reopening in 2012, is a museum of Jewish history, art, and culture in Berkeley, California.  The museum, which was founded in 1961 by Seymour and Rebecca Fromer, is named for Jewish activist Rabbi Judah L. Magnes, a native of Oakland and co-founder of the Hebrew University of Jerusalem. The Magnes Collection of Jewish Art and Life houses more than 30,000 Jewish artifacts and manuscripts, which is the third largest collection of its kind in the United States.During the 2000s, negotiations were held to potentially merge the Judah L. Magnes Museum with what is now called the Contemporary Jewish Museum of San Francisco. However, the talks failed to produce an agreement to combine the two institutions.In 2010, the Judah L. Magnes Museum agreed to give its collection to the University of California, Berkeley, which will now display and preserve the museum's rare Jewish artifacts. As part of the agreement, the collection was moved from its location in an 8,600-square-foot house on Russell Street in Berkeley to a 25,000-square-foot building on Allston Way in downtown Berkeley. The Magnes Museum's board of directors had originally purchased the downtown building in 1997.The museum reopened in its new facility on January 22, 2012. In addition to the move, the name of the museum was changed to the Magnes Collection of Jewish Art and Life."
16,College Women's Club,"The College Women's Club was a women's club founded in 1920 based in Berkeley, California. It organized Berkeley's first cooperative day nursery and established scholarships."
17,"Southside, Berkeley, California","Southside, also known by the older names South of Campus or South Campus, is a neighborhood in Berkeley, California.  Southside is located directly south of and adjacent to the University of California, Berkeley campus.  Because of the large student presence in the neighborhood, proximity to Sproul Plaza, and history of the area, Southside is the neighborhood most closely associated with the university."
18,International House Berkeley,"The International House, Berkeley is a multi-cultural residence and program center serving students at the University of California, Berkeley. According to the International House, its mission is to foster intercultural respect, understanding, lifelong friendships and leadership skills for the promotion of a more tolerant and peaceful world.
International House, also known as I-House, is a dormitory for advanced undergraduates, graduate and professional students and visiting scholars.  The House was created as a gift from John D. Rockefeller, Jr. specifically to foster relationships between students from different countries.  It is notable for having housed many famous artists, scientists, and scholars connected with the university.
The House is the subject of a documentary called ""The Visionaries: International House.""  Public Broadcasting stations across America have been airing this documentary by Visionaries Inc.  The documentary, hosted by Sam Waterston, highlights how the International House on the University of California Berkeley campus has served as one of the largest, most diverse, residential, global communities in the world.The International House has several ""Bay view"" rooms and lounges that overlook the San Francisco Bay, including the Golden Gate Bridge.  Nearly 600 international and American students from 70 nations live in the house during the academic year."
19,UC Berkeley School of Law,"The University of California, Berkeley, School of Law (commonly known as Berkeley Law, or UC Berkeley School of Law, and formerly known as Boalt Hall) is one of 14 schools and colleges at the University of California, Berkeley. Berkeley Law is consistently ranked as one of the top public law schools in the United States and one of the top law schools in the world. In 2018, 89% of graduates obtained full-time jobs within ten months; the school's bar passage rate in 2017 was 90.9%.The law school has produced a number of leaders in law, government, and society, including Chief Justice of the United States Earl Warren, United States Secretary of State Dean Rusk, United States Attorney General Edwin Meese, United States Secretary of the Treasury and Chairman of the Federal Reserve G. William Miller, Solicitor General of the United States Theodore Olson, and lead litigator of the Korematsu v. United States civil rights case, Dale Minami."
20,George and Mary Foster Anthropology Library,"The George and Mary Foster Anthropology Library is one of the subject specialty libraries at University of California, Berkeley, and is one of only three anthropology libraries at American research universities. The other two are at Harvard and the University of Pennsylvania. All three universities have specialized anthropology libraries and museums in support of their anthropology departments."
21,"Barrington Hall (Berkeley, California)","Barrington Hall was a student housing cooperative in the University Students' Cooperative Association (USCA) (now known as the Berkeley Student Cooperative (BSC)) system in Berkeley, California, from 1935 to 1943 and 1950 to 1989. It is currently privately operated student housing."
22,"Panoramic Hill, Oakland/Berkeley, California","Panoramic Hill is a residential neighborhood of the cities of Berkeley and Oakland, California defined by the homes along and within the access corridor defined by Panoramic Way."
23,"First Unitarian Church (Berkeley, California)","The First Unitarian Church at 2401 Bancroft Way in Berkeley, California is a former church building that was built in 1898.  It was designed by Albert C. Schweinfurth, who made unconventional use of Shingle Style architecture, usually applied to homes, in designing a church. It was also highly unusual for a church building in several other ways, including the use of industrial-style metal sash windows, sections of redwood tree trunks as pillars, the strong horizontal emphasis, and a semicircular apse with a conical roof.

The building is listed on the National Register of Historic Places, the California State Historic Resources Survey, and is a City of Berkeley Landmark. It has also been known as University Dance Studio and Bancroft Dance Studio for its current use.Although originally outside the university grounds, it is now the second oldest building still standing on the Berkeley campus. At the time it was built, facing a block of Dana Street that no longer exists, it joined a cluster of Protestant churches that had been built since the 1870s with the encouragement of the university administration. The land was acquired by the university in 1960 through eminent domain for the construction of a student union complex.The church was the first meeting place of the Hillside Club, formed in 1898 to promote Arts and Crafts movement principles in the growing university town.When it was built, A. C. Schweinfurth, the architect, was well on his way to an eminent career with the patronage of the Hearst family, but this church ended up being his last project. While it was under construction, he began a two-year European tour with his wife and daughter. He came down with typhoid fever and died in September 1900.In 1908 the congregation built an adjacent building called Unity Hall, designed by member Bernard Maybeck, which was demolished in 1965 for the construction of Zellerbach Hall. The Schweinfurth-designed building was preserved, landmarked, and restored with seismic upgrades and new shingles in 1999."
24,Sproul Plaza,"Sproul Plaza (pronounced [spraʊɫ]) is a major center of student activity at the University of California, Berkeley. It is divided into two sections: Upper Sproul and Lower Sproul. They are separated by 12 vertical feet and a set of stairs."
25,Berkeley APEC Study Center,"The Berkeley APEC Study Center (BASC) is a research center at the University of California, Berkeley. Created in 1996 in response to an initiative by U.S. President Bill Clinton, the center undertakes research, disseminates information and facilitates discussion on APEC-related issues involving political, economic and business trends in the Asia-Pacific region.The Berkeley center is part of the APEC Study Centers Consortium (ASCC), a network of over a hundred research institutions and university centers across twenty APEC member economies. In addition to the Berkeley center, sister APEC centers are headquartered at Columbia University, Brown University, the Royal Melbourne Institute of Technology, the Taiwan Institute of Economic Research, Hong Kong University, Kobe University, Nankai University, and the University of Indonesia. For the past several years, the Berkeley center has served as co-chair of the U.S. Consortium of APEC Study Centers.
Since its establishment, the center has published over a dozen volumes related to trade and economy in the Asia-Pacific region. It sponsors conferences, symposia, and visiting lecturers. In addition to participating in ASCC conferences in Australia, Peru, Singapore, and Japan, the center has hosted conferences pertaining to the rise of China, the economic resurgence of Russia, Industrial Policy in the Post-Financial Crisis Era, and Mega Free Trade Agreements such as the Trans-Pacific Partnership (TPP), the Regional Comprehensive Economic Partnership (RCEP) and the Transatlantic Trade and Investment Partnership (TTIP) on the UC Berkeley and Stanford University campuses."
26,"University of California, Berkeley oak grove controversy","The University of California, Berkeley oak grove controversy arose over the planned removal of a grove of oak trees in preparation for the construction of a new student athletic training center for the University of California, Berkeley. Berkeley municipal law prohibits removing any coast live oak with a trunk larger than six inches within city boundaries, but city boundaries do not include the university and the university further claimed an exemption to the city law as a state agency. The university's actions sparked three lawsuits, as well as a tree sit-in that ran from December 2006 to September 2008, when the trees in question were finally cut down."
27,"University of California, Berkeley","The University of California, Berkeley (UC Berkeley, Berkeley, Cal, or California) is a public research university in Berkeley, California. Founded in 1868, it is the flagship campus and the oldest of the ten campuses of the University of California. Berkeley has been ranked by numerous major education publications as among the top ten universities in the world.Berkeley is one of the 14 founding members of the Association of American Universities and had $789 million in R&D expenditures in the fiscal year ending June 30, 2015. Today, Berkeley maintains close relationships with three United States Department of Energy National Laboratories—Lawrence Berkeley National Laboratory, Lawrence Livermore National Laboratory and Los Alamos National Laboratory—and is home to many institutes, including the Mathematical Sciences Research Institute and the Space Sciences Laboratory. Through its partner institution University of California, San Francisco (UCSF), Berkeley also offers a joint medical program at the UCSF Medical Center.As of October 2019, Berkeley alumni, faculty members and researchers include 107 Nobel laureates, the third most of any university worldwide, as well as 25 Turing Award winners, and 14 Fields Medalists. They have also won 19 Wolf Prizes, 45 MacArthur Fellowships, 20 Academy Awards, 19 Pulitzer Prizes, and 207 Olympic medals. In 1930, Ernest Lawrence invented the cyclotron at Berkeley, based on which UC Berkeley researchers along with Berkeley Lab have discovered or co-discovered 16 chemical elements of the periodic table – more than any other university in the world. During the 1940s, Berkeley physicist J. R. Oppenheimer, the ""Father of the Atomic Bomb"", led the Manhattan project to create the first atomic bomb. In the 1960s, Berkeley was particularly noted for the Free Speech Movement as well as the anti–Vietnam War movement led by its students. In the 21st century, Berkeley has become one of the leading universities in producing entrepreneurs and its alumni have founded or co-founded many companies worldwide, including five classified as Fortune 500 Companies as of 2017.

"
28,Zellerbach Hall,"Zellerbach Hall is a multi-venue performance facility on the campus of the University of California, Berkeley, west of Lower Sproul Plaza. It was designed by architect and professor Vernon DeMars and completed in 1968. The facility consists of two primary performance spaces: the 1,984-seat Zellerbach Auditorium, and the 500-seat Zellerbach Playhouse.
Zellerbach Auditorium is the main performance venue for Cal Performances, a presenting and producing arts organization. The facility is suitable for dance, theater, and opera, and has a built-in concert shell that provides an excellent acoustical enclosure for symphonic and other classical music performances.
The Playhouse is primarily used by the UC Berkeley Department of Theater and Dance. It features flexible seating sections to allow for different configurations of the seating and performance spaces.
Zellerbach Hall was named in honor of Isadore and Jennie Zellerbach, after a $1 million gift was given toward completion of the facility.Christine McVie of the band, Fleetwood Mac recorded her song ""Songbird""  (from the album Rumours) here in 1976.In May 1998, the game show Jeopardy! held their annual College Championship at Zellerbach Hall."
29,"Claremont, Oakland/Berkeley, California","The Claremont district is a neighborhood straddling the city limits of Oakland and Berkeley in the East Bay section of the San Francisco Bay Area in California, United States.  The main thoroughfares are Claremont and Ashby Avenues.
The name ""Claremont"" was adopted December 20, 1879 at a meeting convened by a real estate developer and local resident, Grant Taggert. Within a year or so of this, the name of the main thoroughfare was changed from Telegraph Road to Claremont Avenue.  The Telegraph Road had been named for the first telegraph line into Oakland, strung by the Alta Telegraph Company in 1859.  The line ran from Martinez across the hills and down what was then named ""Harwood's Canyon"" after an early claimant to grazing lands in the canyon above the Claremont neighborhood, retired sea captain and Oakland wharfinger William Harwood.  With the advent of the telegraph line, it became ""Telegraph Canyon"", a name that persists for a side canyon near the summit of the hills.  The creek which runs through the Claremont neighborhood was first known as the north fork of Temescal Creek.  It later became Harwood Creek, and eventually, Claremont Creek.
During the 19th century, a stage coach line ran up the canyon and over the summit into Contra Costa County. This became an early auto route over the Berkeley Hills even after the first tunnel (the InterCounty Tunnel/Kennedy Tunnel) opened up in 1903 to the south of Claremont Canyon, above where the Caldecott Tunnel is today.
In 1905, Duncan McDuffie opened up the Claremont Park development, an upscale tract.
In 1909, the portion of the district which now lies within the City of Oakland was annexed to the city.  Until then, it had been an unincorporated area of Alameda County.
In the early 1900s real estate interests associated with the Key System built the Claremont Hotel at the mouth of Claremont Canyon. The Key System ran one of its commuter train lines directly to the hotel up Claremont Avenue until service ended in 1958. This train became the transbay ""E"" train upon completion of the San Francisco–Oakland Bay Bridge.
The principal west-east thoroughfare through the Claremont was at first Russell Street which led directly to the road up Claremont Canyon. With the opening of the first tunnel however, Ashby became the more convenient approach to the Tunnel Road and was improved over the years to channel through traffic, especially during the 1930s when both the new Broadway (later re-named Caldecott) Tunnel and the Bay Bridge were constructed.  Ashby and Tunnel Road were then designated State Route 24 and connected to the Eastshore Highway (now Freeway) to serve as an access route to the Bay Bridge and San Francisco. Upon completion of the Grove-Shafter Freeway in the 1960s, it was re-designated State Route 13 and connected to the new Warren Freeway.
The Claremont district was one of the areas affected by the 1991 Oakland firestorm. The flames came within a few blocks of the Claremont Hotel, destroying much of the area northeast of Tunnel Road.  The area has since been rebuilt.

"
30,California Memorial Stadium,"California Memorial Stadium is an outdoor football stadium on the campus of the University of California, Berkeley in Berkeley, California. Commonly known as Memorial Stadium, it is the home field for the University of California Golden Bears of the Pac-12 Conference. The venue opened in 1923 and currently seats around 63,000 fans for football. The playing field runs NW-SE, at an elevation of 410 feet (125 m) above sea level. It has been named one of the top college football stadiums by various publications, and it was listed on the U.S. National Register of Historic Places on November 27, 2006.Memorial Stadium was funded from public contributions, as a memorial to Californians who lost their lives in World War I (1917–18). The chair of the architectural committee was John Galen Howard, the university's chief architect, and his influence is evident in the stadium's neoclassical motif. In addition to its unique architecture, the stadium's position at the foot of the Berkeley hills provides top row spectators with panoramic views of San Francisco Bay and west side viewers with views of the Berkeley Hills and Strawberry Canyon. This has earned it a reputation as one of the most scenic venues in college football.
Traditionally, during all football games and especially during the Big Game against Stanford, the hill overlooking the eastern side of Memorial Stadium attracts spectators hoping to watch a game for free, earning the nickname ""Tightwad Hill""."
31,Berkeley Free Clinic,"The Berkeley Free Clinic is a non-profit community clinic located in Berkeley, California, US. It is operated as a worker-run collective by more than 100 volunteers. It has provided free medical care since opening in 1969."
32,UC Berkeley School of Optometry,"The University of California, Berkeley, School of Optometry (Berkeley Optometry) is an optometry school in the United States. Berkeley Optometry offers a graduate-level, four-year professional program leading to the Doctor of Optometry degree (OD). The School also offers a one-year, ACOE-accredited residency program in clinical optometry specialties (primary care, ocular disease, contact lenses, low vision, binocular vision, and pediatrics). In addition, Berkeley Optometry serves as the home department for the multidisciplinary Vision Science Group at the University of California, Berkeley, whose graduate students earn either MS or PhD degrees."
33,Sather Gate,"Sather Gate is a prominent landmark separating Sproul Plaza from the bridge over Strawberry Creek, leading to the center of the University of California, Berkeley campus. The gate was donated by Jane K. Sather, a benefactor of the university, in memory of her late husband Peder Sather, a trustee of the College of California, which later became the University of California. It is California Historical Landmark No. 946 and No. 82004649 in the National Register of Historic Places."
34,Berkeley City Club,"The Berkeley City Club was commissioned as the club house of the Berkeley Women's City Club organized in Berkeley, California in 1927 to contribute to social, civic, and cultural progress. This private club is no longer restricted to women, and the club house building is available to the public at large for overnight stays, weddings and other occasions. On the second floor, the Club also houses Julia's Restaurant and Morgan's Bar & Lounge, led by Executive Chef Fabrice Marcon, MCF.The building, constructed in 1929 and officially opened in 1930, is one of the outstanding works of noted California architect Julia Morgan. The San Francisco-born Morgan was the first woman to gain admission and earn a certificate from the Ecole de Beaux-Arts in Paris (1902) and the first licensed female architect in California. She designed nearly 100 women's-organization buildings throughout her career.
Her interpretation of Moorish and Gothic elements in the Berkeley Women's City Club created a landmark of California design. It is registered as California Historical Landmark and is listed on the National Register of Historic Places (NPS-7700028). The Berkeley City Club Conservancy cares for the building itself. Along with many other stewards of Julia Morgan properties, BCCC joined in the California Cultural and Historical Endowment's Julia Morgan 2012 Project."
35,Haas School of Business,"The Walter A. Haas School of Business, also known as the Haas School of Business or Berkeley Haas, is the business school of the University of California, Berkeley.
The school is housed in four buildings surrounding a central courtyard on the southeastern corner of the UC Berkeley campus. It was the nation's first business school at a public university and is ranked as a global top-10 business school by The Economist, Financial Times, QS World University Rankings, U.S. News & World Report, and Bloomberg Businessweek.

"
36,Harmon Gym (1879),"The original Harmon Gymnasium was a gymnasium on the campus of the University of California in Berkeley, California.  It was the fourth building built on campus, after North Hall, South Hall and Bacon Hall, and the first built with funds from a private donor.  In 1878, Albion Keith Paris Harmon, an Oakland businessman, donated $15,000 ($412 thousand in 2019 dollars) to the University for the construction of a gymnasium and assembly hall, which was to be named in his honor.  In 1879 the octagonal wooden building opened, north of Strawberry Creek.
The building served as a gymnasium, a theater, assembly hall, dance hall and the headquarters of the military cadet corps.  In 1892, it was the site of the first competitive collegiate women's basketball game, between the University's women and Miss Head's School.  By 1900 the needs of the campus had outgrown the gymnasium, so the decision was made to expand the building, by cutting the octagon in half, moving one half and building the new gymnasium between the two halves.  The expanded Harmon Gym held 1,400 by the time the California Golden Bears men's basketball team started competing in 1907.  However, even this expansion proved to not be enough for the growing interest in college basketball.  By 1925 only lesser non-conference games were held in the gym, with conference games and important games being held in the Oakland Civic Auditorium.  In 1931 construction was started on its replacement, the current Haas Pavilion, which would eventually share the same name as its predecessor from 1959 to 1999.  The building was torn down not long after the completion of the new Men's Gymnasium, and in 1950 Dwinelle Hall was built on the site."
37,"Senior Hall (Berkeley, California)","Senior Hall is a historic building on the University of California, Berkeley campus, in Berkeley, California. The rustic log cabin structure was designed by architect John Galen Howard. The building was proposed in 1903 and dedicated in 1906. It was originally used as the university's student union and run by the senior male students. A senior honor society called the Order of the Golden Bear was largely responsible for building the hall, and it held secret meetings at the hall after its construction. According to the Daily Californian, Senior Hall was largely responsible for student self-governance at Berkeley, as the hall gave seniors a place to meet and discuss campus issues. A new student union replaced the hall in 1923, but the Order of the Golden Bear continues to meet there.Senior Hall was listed on the National Register of Historic Places in 1974."
38,Harold E. Jones Child Study Center,"The Harold E. Jones Child Study Center is a research and educational institution for young children at the University of California, Berkeley. It is one of the oldest continuously running centers for the study of children in the country. The Jones Child Study Center has a special relationship with the Institute of Human Development as a site for research, training and outreach to the community, parents, and teachers. The Institute of Human Development's fundamental mission is to study evolutionary, biological, psychological, social, and cultural factors that affect human development from birth through old age. Research conducted at the Institute of Human Development and the Jones Child Study Center is interdisciplinary: psychology, education, social welfare, architecture, sociology, linguistics, public health, and pediatrics. The primary audiences for the findings include scholars and parents. Faculty, postdoctoral, graduate, and undergraduate students observe and test children attending the preschool for their research projects. Undergraduate students in Early Childhood Education may also gain experience in the classrooms as teachers' assistants.The Jones CSC preschool has an outdoor play area that is accessible virtually all day long via sliding doors and partially protected by an overhead canopy. Catherine Landreth, a former director of the school and designer of the building, worked with Joseph Esherick to create a space where the development of children would be highlighted. This included the careful planning of ceiling heights and placement of activity centers. In most other preschools, the ceilings tend to be low which emphasizes the height of adults in relation to children. Esherick and Landreth believed that a higher ceiling would shift the observers' focus from the height differential of the people occupying the space to the activities taking place. The activity centers were constructed to keep the children engaged by placing items at the child's eye level. Landreth wanted a place that did not impose learning but encouraged them to engage in activities that interests the child. The guiding philosophy behind the preschool is that a child's environment can positively affect development.The Jones CSC is also the home to the Greater Good Science Center, which is an interdisciplinary research center concentrating on the scientific understanding of social well-being. Research from neuroscience, psychology, sociology, political science, economics, public policy, social welfare, public health, law, and organizational behavior study the social and biological roots of positive emotions and behaviors. The Greater Good Science Center's website and publications make research accessible to the general public. The Center produces a quarterly magazine, Greater Good magazine, that addresses research in the social sciences related to compassion in action."
39,Wheeler Hall,"Wheeler Hall is a building on the campus of the University of California, Berkeley in Berkeley, California in the Classical Revival style.  Home to the English department, it was named for the philologist and university president Benjamin Ide Wheeler.
The building was opened in 1917. It houses the largest lecture hall on the Berkeley campus, Wheeler Auditorium.
On February 29, 1940, UC Berkeley professor Ernest O. Lawrence received the Nobel Prize in Physics in Wheeler Auditorium from Carl Wallerstedt, Consul General from Sweden, due to the danger of crossing the Atlantic during World War II. The building was the site of many of the Free Speech Movement protests in the 1960s and is a focal point of the Berkeley campus. In the 2010s, it has been the place for many university protests and several building takeovers."
40,Haas Institute for a Fair and Inclusive Society,"The Haas Institute for a Fair and Inclusive Society at UC Berkeley was founded in 2010 through funding by the Evelyn and Walter Haas, Jr. Fund, as  a part of the UC Berkeley Initiative for Equity, Inclusion, and Diversity. Organized into seven research clusters, the Haas Institute involves over 100 researchers and faculty across the University of California system. Eight endowed chairs focused on equity and inclusion form the core of the clusters."
41,South Hall (UC Berkeley),"South Hall is the oldest building on the campus of the University of California, Berkeley, and the only remaining building of the original campus. South Hall was originally the counterpart of North Hall, which no longer exists, but was located where the Bancroft Library currently stands.
The first physics laboratory in the United States was hosted in South Hall in 1879. It also has been home to the College of Agriculture, a business school, and a temporary museum for the state geological survey. The University Herbarium was housed in South Hall from 1890 till 1897. It currently houses the UC Berkeley School of Information. When Wheeler Hall was planned, the entrance of South Hall was removed from the west side and added on the east side entrance. The original wooden porch was replaced in 1997 with glass fiber reinforced concrete.
According to legend, the rooftop scene of Mary Poppins was filmed at South Hall, although this has been shown to be false.Campus tour guides often point out a small stone bear, sculpted by Michael H. Casey, in the architecture of South Hall, on the balcony railing above the entrance, in the third circle from the left, claiming it is the smallest bear statue on campus.
The four-story building is located southwest of Sather Tower."
42,"University of California, Berkeley School of Information","The UC Berkeley School of Information or the I School is a graduate school offering four degree programs: a professional master's degree in Information Management and Systems (MIMS), a professional master's degree in Information and Data Science (MIDS), a professional master's degree in Information and Cybersecurity (MICS), and an academic doctoral degree. Created in 1994, the I School is UC Berkeley's newest school. It was previously known as the School of Information Management and Systems (SIMS) until 2006. Its roots trace back to UC Berkeley's School of Librarianship founded in the 1920s. The program is located in UC Berkeley's South Hall, near Sather Tower in the center of the UC Berkeley campus."
43,Haas Pavilion,"The Walter A. Haas Jr. Pavilion is an indoor arena in the western United States, on the campus of the University of California in Berkeley, California. It is the home venue of the Golden Bears men's and women's basketball, women's volleyball, and men's and women's gymnastics teams. The arena is located in the middle of the main sports complex, overlooking Evans Diamond (baseball) and Edwards Stadium (track/soccer)."
